comm_type,matrix_size,num_procs,nodes,environment,total_time_mean,total_time_std,comm_time_mean,comm_time_std,comp_time_mean,comp_time_std,repetitions
collective,512,32,1,713283,0.039553,0.000272,0.026150,0.001919,0.028481,0.000129,3
collective,1024,32,1,713283,0.292695,0.004203,0.160454,0.004351,0.262233,0.004958,3
collective,2048,32,1,713283,6.504240,0.369688,3.358064,0.400511,6.419826,0.382877,3
sync,512,32,1,713283,0.037889,0.001068,0.018953,0.001262,0.026956,0.000793,3
sync,1024,32,1,713283,0.295437,0.003839,0.160139,0.002823,0.265867,0.004130,3
sync,2048,32,1,713283,6.087959,0.060600,2.932896,0.102664,6.000749,0.051417,3
async,512,32,1,713283,0.038931,0.001281,0.027687,0.001248,0.027938,0.000522,3
async,1024,32,1,713283,0.289992,0.003367,0.157178,0.004246,0.259903,0.003540,3
async,2048,32,1,713283,6.105415,0.042830,2.997377,0.050501,6.046251,0.035101,3
async_new,512,32,1,713283,0.042229,0.004744,0.023794,0.007819,0.027622,0.001691,3
async_new,1024,32,1,713283,0.288370,0.005561,0.128251,0.012182,0.263867,0.003500,3
async_new,2048,32,1,713283,6.287827,0.258180,2.650265,0.514646,6.205667,0.245714,3
collective,512,32,2,713284,0.085393,0.001774,0.076264,0.000904,0.019725,0.000344,3
collective,1024,32,2,713284,0.246462,0.035153,0.118206,0.039984,0.166494,0.036017,3
collective,2048,32,2,713284,3.172132,0.008998,0.287212,0.005073,3.050297,0.012860,3
sync,512,32,2,713284,0.143117,0.005960,0.137032,0.007309,0.013028,0.003939,3
sync,1024,32,2,713284,0.280436,0.003168,0.152309,0.005747,0.137495,0.002089,3
sync,2048,32,2,713284,3.304566,0.055891,0.402366,0.057039,3.108841,0.053074,3
async,512,32,2,713284,0.090852,0.002618,0.086493,0.004622,0.017677,0.002068,3
async,1024,32,2,713284,0.232084,0.012531,0.105413,0.013077,0.151306,0.016375,3
async,2048,32,2,713284,3.197710,0.045469,0.356204,0.039636,3.080275,0.026890,3
async_new,512,32,2,713284,0.086330,0.001329,0.077536,0.003678,0.018360,0.002666,3
async_new,1024,32,2,713284,0.217307,0.009771,0.084414,0.009572,0.143908,0.011702,3
async_new,2048,32,2,713284,3.179436,0.022083,0.296535,0.096451,3.057504,0.022254,3
collective,512,32,3,713285,0.109146,0.003890,0.118491,0.007992,0.010327,0.000036,3
collective,1024,32,3,713285,0.241823,0.002764,0.130503,0.003529,0.130263,0.000222,3
collective,2048,32,3,713285,3.101611,0.019631,0.392307,0.042035,2.953062,0.016475,3
sync,512,32,3,713285,0.187582,0.003964,0.195968,0.003514,0.012347,0.003596,3
sync,1024,32,3,713285,0.310262,0.000440,0.210494,0.004227,0.130984,0.003729,3
sync,2048,32,3,713285,3.205669,0.059826,0.584282,0.082992,2.970111,0.042548,3
async,512,32,3,713285,0.103179,0.003591,0.113880,0.002257,0.010523,0.000123,3
