comm_type,matrix_size,num_procs,environment,total_time_mean,total_time_std,comm_time_mean,comm_time_std,comp_time_mean,comp_time_std,repetitions
collective,128,2,712297,0.002183,0.000303,0.001012,0.000296,0.001170,0.000075,5
collective,128,4,712297,0.001346,0.000251,0.000625,0.000061,0.000721,0.000220,5
collective,128,8,712297,0.001324,0.000298,0.000955,0.000315,0.000368,0.000114,5
collective,128,16,712297,0.001507,0.000129,0.001306,0.000120,0.000201,0.000058,5
collective,256,2,712297,0.026987,0.007005,0.002684,0.000745,0.024302,0.007067,5
collective,256,4,712297,0.013752,0.003571,0.002515,0.000669,0.011237,0.003708,5
collective,256,8,712297,0.009791,0.002434,0.003923,0.002415,0.005868,0.002320,5
collective,256,16,712297,0.007917,0.000373,0.004612,0.001325,0.003305,0.001126,5
collective,512,2,712297,0.202422,0.000755,0.006222,0.002607,0.196200,0.002442,5
collective,512,4,712297,0.082561,0.000746,0.006402,0.002535,0.076159,0.002732,5
collective,512,8,712297,0.045445,0.002176,0.005505,0.001627,0.039937,0.002566,5
collective,512,16,712297,0.043819,0.004292,0.019952,0.008231,0.023866,0.008046,5
collective,1024,2,712297,1.499550,0.013802,0.016353,0.008073,1.483193,0.018921,5
collective,1024,4,712297,0.926502,0.013385,0.034192,0.019163,0.892304,0.020970,5
collective,1024,8,712297,0.589478,0.021799,0.040381,0.024160,0.549094,0.010591,5
collective,1024,16,712297,0.323648,0.013326,0.064223,0.021765,0.259423,0.009626,5
collective,2048,2,712297,34.725539,7.661830,1.249975,1.660982,33.475559,6.540440,5
collective,2048,4,712297,22.307305,1.133629,1.638455,3.174887,20.668843,2.346140,5
collective,2048,8,712297,11.202925,0.217991,0.246687,0.259486,10.956233,0.390547,5
collective,2048,16,712297,6.688040,0.275762,0.654667,0.412087,6.033367,0.485488,5
collective,4096,2,712297,443.879567,26.668041,5.027089,9.167685,438.852474,32.841764,5
collective,4096,4,712297,208.835310,6.413840,1.304328,0.673806,207.530977,6.382489,5
collective,4096,8,712297,108.153654,1.910044,1.129099,1.353156,107.024549,1.144073,5
collective,4096,16,712297,62.607915,6.885119,0.502460,0.335145,62.105449,7.039964,5
collective,8192,2,712297,3342.598521,69.786400,44.944653,65.947137,3297.653864,65.295021,5
collective,8192,4,712297,1800.644054,113.106709,72.042233,115.692002,1728.601815,37.705145,5
collective,8192,8,712297,932.211409,20.964553,3.961515,7.004625,928.249890,23.268390,5
collective,8192,16,712297,508.217391,10.070637,4.238731,2.921537,503.978654,7.236395,5
