comm_type,matrix_size,num_procs,environment,total_time_mean,total_time_std,comm_time_mean,comm_time_std,comp_time_mean,comp_time_std,repetitions
collective,128,2,712298,0.002060,0.000031,0.000892,0.000050,0.001168,0.000043,5
collective,128,4,712298,0.001582,0.000590,0.000791,0.000353,0.000791,0.000263,5
collective,128,8,712298,0.001388,0.000331,0.001006,0.000353,0.000381,0.000125,5
collective,128,16,712298,0.001685,0.000121,0.001452,0.000112,0.000232,0.000034,5
collective,128,32,712298,0.069786,0.003025,0.069658,0.003009,0.000127,0.000027,5
collective,256,2,712298,0.025458,0.000286,0.002148,0.000319,0.023308,0.000559,5
collective,256,4,712298,0.012164,0.000724,0.001502,0.000556,0.010660,0.000964,5
collective,256,8,712298,0.007585,0.002233,0.001687,0.000100,0.005897,0.002229,5
collective,256,16,712298,0.010377,0.000862,0.007066,0.001400,0.003311,0.001218,5
collective,256,32,712298,0.079442,0.003161,0.077591,0.002970,0.001851,0.000557,5
collective,512,2,712298,0.202840,0.000468,0.004627,0.000539,0.198213,0.000844,5
collective,512,4,712298,0.085636,0.001173,0.007193,0.002560,0.078442,0.002641,5
collective,512,8,712298,0.044990,0.001164,0.004463,0.000967,0.040526,0.000511,5
collective,512,16,712298,0.048175,0.001508,0.026984,0.002145,0.021191,0.001123,5
collective,512,32,712298,0.097192,0.001875,0.083022,0.004653,0.014169,0.005086,5
collective,1024,2,712298,1.507504,0.001189,0.014762,0.004309,1.492739,0.004878,5
collective,1024,4,712298,0.960295,0.039576,0.039814,0.037910,0.920477,0.029681,5
collective,1024,8,712298,0.679774,0.037865,0.111670,0.088193,0.568100,0.082013,5
collective,1024,16,712298,0.374310,0.067011,0.071886,0.064449,0.302422,0.064203,5
collective,1024,32,712298,0.324234,0.009890,0.160868,0.041532,0.163365,0.044752,5
collective,2048,2,712298,47.313821,1.199717,0.953954,1.555532,46.359862,1.211806,5
collective,2048,4,712298,24.809554,1.825806,2.490252,3.079854,22.319297,2.264611,5
collective,2048,8,712298,12.475242,0.885594,1.048193,0.669504,11.427046,1.341069,5
collective,2048,16,712298,6.424257,0.259418,0.506033,0.272326,5.918218,0.168755,5
collective,2048,32,712298,3.686885,0.275659,0.437168,0.346054,3.249709,0.271638,5
collective,4096,2,712298,464.564953,8.105610,1.393984,1.561376,463.170966,8.692337,5
collective,4096,4,712298,213.623913,3.009765,3.290478,6.172157,210.333431,6.786980,5
collective,4096,8,712298,118.901350,11.799980,1.482981,2.017150,117.418365,13.075397,5
collective,4096,16,712298,65.862579,3.462725,6.636350,3.558834,59.226223,0.755892,5
collective,4096,32,712298,34.994594,2.475922,2.672637,2.821646,32.321952,1.846648,5
collective,8192,2,712298,3529.377169,144.448246,33.350711,69.976868,3496.026452,141.300258,5
collective,8192,4,712298,1752.737595,41.740936,27.362476,35.994108,1725.375113,35.237414,5
