comm_type,matrix_size,num_procs,environment,total_time_mean,total_time_std,comm_time_mean,comm_time_std,comp_time_mean,comp_time_std,repetitions,nodes
collective,8192,32,712570,479.015249,8.902558,65.829745,92.486117,413.185495,90.659222,5,1
sync,8192,32,712570,484.339512,11.430083,75.871104,84.382073,408.468401,88.600566,5,1
async,8192,32,712570,476.839351,3.157872,7.572440,3.280770,469.266904,4.193983,5,1
async_new,8192,32,712570,477.275330,2.643873,9.401453,4.151687,467.873870,5.603974,5,1
collective,8192,32,712595,478.161528,6.126145,46.147342,90.378275,432.014178,92.063343,5,2
sync,8192,32,712595,473.047754,2.416274,86.179677,106.495770,386.868069,108.837752,5,2
async,8192,32,712595,491.693234,22.427013,23.869926,23.851530,467.823299,2.266464,5,2
async_new,8192,32,712595,469.328789,17.463806,56.111800,67.386839,413.216981,84.166585,5,2
collective,8192,32,712654,243.755010,2.365343,3.776905,2.360741,239.978102,3.930697,5,3
sync,8192,32,712654,243.628196,2.545039,4.372610,3.139145,239.255583,3.260948,5,3
async,8192,32,712654,241.644453,3.391748,4.047259,3.477741,237.597191,1.573028,5,3
async_new,8192,32,712654,239.665971,1.828078,2.199407,2.109121,237.466562,2.078427,5,3
collective,8192,64,712624,245.355963,11.003114,50.674449,47.106028,194.681508,54.459881,5,2
sync,8192,64,712624,245.965347,7.185724,53.320976,56.086217,192.644364,51.334695,5,2
async,8192,64,712624,255.298327,11.808137,38.609599,43.425585,216.688720,48.527810,5,2
async_new,8192,64,712624,242.786539,5.699425,30.515414,41.058921,212.271116,45.076214,5,2
collective,8192,64,712625,188.429583,5.517013,45.587993,24.157257,142.841585,21.807531,5,3
sync,8192,64,712625,231.112426,11.950806,71.445142,39.575005,159.667275,49.279740,5,3
async,8192,64,712625,219.644493,6.112120,83.798514,7.197610,135.845971,2.685714,5,3
async_new,8192,64,712625,210.095220,10.922011,46.789560,31.601201,163.305653,41.925896,5,3

