sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic,in_1.in,1,0,1,5,0.000001,0.000001,"[1e-06, 0.0, 1e-06, 1e-06, 0.0]"
bitonic,in_2.in,2,0,1,5,0.000001,0.000001,"[2e-06, 2e-06, 1e-06, 1e-06, 1e-06]"
bitonic,in_4.in,4,0,1,5,0.000001,0.000000,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]"
bitonic,in_8.in,8,0,1,5,0.000003,0.000001,"[4e-06, 2e-06, 4e-06, 2e-06, 4e-06]"
bitonic,in_16.in,16,0,1,5,0.000005,0.000002,"[4e-06, 8e-06, 4e-06, 4e-06, 4e-06]"
bitonic,in_32.in,32,0,1,5,0.000009,0.000000,"[9e-06, 9e-06, 9e-06, 9e-06, 9e-06]"
bitonic,in_64.in,64,0,1,5,0.000030,0.000013,"[2.2e-05, 4.4e-05, 2.1e-05, 4.5e-05, 2e-05]"
bitonic,in_128.in,128,0,1,5,0.000045,0.000001,"[4.5e-05, 4.4e-05, 4.4e-05, 4.7e-05, 4.6e-05]"
bitonic,in_256.in,256,0,1,5,0.000163,0.000073,"[0.00012, 0.000246, 0.000107, 0.000239, 0.000104]"
bitonic,in_512.in,512,0,1,5,0.000292,0.000023,"[0.000291, 0.000254, 0.000309, 0.000309, 0.000299]"
bitonic,in_1024.in,1024,0,1,5,0.000615,0.000070,"[0.000705, 0.00054, 0.000599, 0.000669, 0.000564]"
bitonic,in_2048.in,2048,0,1,5,0.001317,0.000066,"[0.001361, 0.001409, 0.001255, 0.001295, 0.001264]"
bitonic,in_4096.in,4096,0,1,5,0.002934,0.000067,"[0.002977, 0.003033, 0.002886, 0.002884, 0.002892]"
bitonic,in_8192.in,8192,0,1,5,0.006848,0.000109,"[0.006773, 0.006804, 0.00681, 0.006812, 0.007042]"
bitonic,in_16384.in,16384,0,1,5,0.015119,0.000039,"[0.015148, 0.015119, 0.015167, 0.015073, 0.015089]"
bitonic,in_32768.in,32768,0,1,5,0.034051,0.000121,"[0.033903, 0.034083, 0.034233, 0.034033, 0.034004]"
bitonic,in_65536.in,65536,0,1,5,0.075725,0.000221,"[0.075596, 0.075632, 0.075714, 0.075575, 0.076109]"
bitonic,in_131072.in,131072,0,1,5,0.167183,0.000154,"[0.167271, 0.166922, 0.167316, 0.167186, 0.167219]"
bitonic,in_262144.in,262144,0,1,5,0.367797,0.000484,"[0.367574, 0.367126, 0.367806, 0.36809, 0.368388]"
bitonic,in_524288.in,524288,0,1,5,0.808337,0.001415,"[0.809842, 0.806851, 0.807144, 0.808082, 0.809767]"
bitonic,in_1048576.in,1048576,0,1,5,1.765520,0.001049,"[1.765623, 1.766378, 1.763812, 1.765413, 1.766373]"
bitonic,in_2097152.in,2097152,0,1,5,3.845212,0.006283,"[3.851818, 3.83589, 3.844129, 3.844032, 3.850192]"
bitonic,in_4194304.in,4194304,0,1,5,8.350171,0.004049,"[8.345794, 8.354669, 8.34605, 8.351401, 8.352942]"
bitonic,in_8388608.in,8388608,0,1,5,18.070801,0.019749,"[18.063204, 18.099338, 18.057053, 18.051825, 18.082585]"
bitonic,in_16777216.in,16777216,0,1,5,38.929075,0.019698,"[38.908027, 38.945693, 38.923028, 38.91506, 38.953568]"
bitonic_parallel,in_1.in,1,1024,1,5,0.000011,0.000004,"[1.2e-05, 5e-06, 9e-06, 1.5e-05, 1.5e-05]"
bitonic_parallel,in_1.in,1,2048,1,5,0.000006,0.000001,"[5e-06, 5e-06, 5e-06, 6e-06, 8e-06]"
bitonic_parallel,in_1.in,1,4096,1,5,0.000005,0.000001,"[4e-06, 7e-06, 5e-06, 5e-06, 5e-06]"
bitonic_parallel,in_1.in,1,1024,2,5,0.000097,0.000010,"[8.8e-05, 0.000106, 0.000107, 9.8e-05, 8.6e-05]"
bitonic_parallel,in_1.in,1,2048,2,5,0.000100,0.000028,"[8.6e-05, 0.00015, 9.2e-05, 9e-05, 8.4e-05]"
bitonic_parallel,in_1.in,1,4096,2,5,0.000092,0.000012,"[8.8e-05, 0.000113, 8e-05, 8.8e-05, 9.3e-05]"
bitonic_parallel,in_1.in,1,1024,5,5,0.000210,0.000017,"[0.000216, 0.000233, 0.000216, 0.000196, 0.00019]"
bitonic_parallel,in_1.in,1,2048,5,5,0.000212,0.000013,"[0.000199, 0.000203, 0.000217, 0.000209, 0.000232]"
bitonic_parallel,in_1.in,1,4096,5,5,0.000235,0.000057,"[0.000198, 0.000208, 0.000229, 0.000335, 0.000203]"
bitonic_parallel,in_1.in,1,1024,10,5,0.000466,0.000059,"[0.00043, 0.000422, 0.000548, 0.000508, 0.00042]"
bitonic_parallel,in_1.in,1,2048,10,5,0.000461,0.000020,"[0.000478, 0.00044, 0.000476, 0.000471, 0.000438]"
bitonic_parallel,in_1.in,1,4096,10,5,0.000422,0.000019,"[0.000413, 0.000421, 0.000398, 0.000432, 0.000448]"
bitonic_parallel,in_1.in,1,1024,20,5,0.000833,0.000080,"[0.000869, 0.000927, 0.000817, 0.000842, 0.00071]"
bitonic_parallel,in_1.in,1,2048,20,5,0.000803,0.000035,"[0.000854, 0.000791, 0.000812, 0.000802, 0.000757]"
