input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
in_1.in,1,1024,1,5,0.000031,0.000060,"[0.000139, 6e-06, 3e-06, 4e-06, 4e-06]"
in_1.in,1,2048,1,5,0.000004,0.000001,"[3e-06, 3e-06, 4e-06, 5e-06, 3e-06]"
in_1.in,1,4096,1,5,0.000004,0.000001,"[3e-06, 4e-06, 5e-06, 4e-06, 4e-06]"
in_1.in,1,1024,2,5,0.000026,0.000002,"[2.6e-05, 3e-05, 2.6e-05, 2.5e-05, 2.5e-05]"
in_1.in,1,2048,2,5,0.000040,0.000017,"[3e-05, 2.8e-05, 7e-05, 3.2e-05, 4.1e-05]"
in_1.in,1,4096,2,5,0.000035,0.000002,"[3.2e-05, 3.7e-05, 3.8e-05, 3.4e-05, 3.6e-05]"
in_1.in,1,1024,4,5,0.000042,0.000008,"[5.7e-05, 3.8e-05, 4.1e-05, 3.7e-05, 3.9e-05]"
in_1.in,1,2048,4,5,0.000036,0.000003,"[3.4e-05, 3.6e-05, 4.1e-05, 3.5e-05, 3.2e-05]"
in_1.in,1,4096,4,5,0.000044,0.000014,"[3.8e-05, 6.8e-05, 4.1e-05, 3.9e-05, 3.3e-05]"
in_1.in,1,1024,8,5,0.000070,0.000006,"[7.2e-05, 7.8e-05, 7.1e-05, 6.6e-05, 6.2e-05]"
in_1.in,1,2048,8,5,0.000071,0.000013,"[6.2e-05, 9.3e-05, 6.8e-05, 6.7e-05, 6.4e-05]"
in_1.in,1,4096,8,5,0.000066,0.000004,"[6.9e-05, 6.1e-05, 7e-05, 6.4e-05, 6.7e-05]"
in_2.in,2,1024,1,5,0.000005,0.000001,"[6e-06, 6e-06, 6e-06, 4e-06, 4e-06]"
in_2.in,2,2048,1,5,0.000004,0.000001,"[4e-06, 3e-06, 5e-06, 4e-06, 4e-06]"
in_2.in,2,4096,1,5,0.000004,0.000001,"[3e-06, 4e-06, 5e-06, 3e-06, 3e-06]"
in_2.in,2,1024,2,5,0.000026,0.000002,"[2.9e-05, 2.6e-05, 2.7e-05, 2.3e-05, 2.6e-05]"
in_2.in,2,2048,2,5,0.000026,0.000001,"[2.5e-05, 2.6e-05, 2.7e-05, 2.5e-05, 2.5e-05]"
in_2.in,2,4096,2,5,0.000026,0.000003,"[2.9e-05, 2.3e-05, 2.4e-05, 2.3e-05, 2.9e-05]"
in_2.in,2,1024,4,5,0.000036,0.000003,"[4e-05, 3.8e-05, 3.6e-05, 3.2e-05, 3.6e-05]"
in_2.in,2,2048,4,5,0.000035,0.000002,"[3.4e-05, 3.7e-05, 3.8e-05, 3.6e-05, 3.2e-05]"
in_2.in,2,4096,4,5,0.000038,0.000004,"[3.4e-05, 3.5e-05, 3.5e-05, 4.1e-05, 4.4e-05]"
in_2.in,2,1024,8,5,0.000072,0.000012,"[6.1e-05, 7.2e-05, 6.3e-05, 9.1e-05, 7.5e-05]"
in_2.in,2,2048,8,5,0.000065,0.000003,"[5.9e-05, 6.5e-05, 6.6e-05, 6.8e-05, 6.5e-05]"
in_2.in,2,4096,8,5,0.000067,0.000006,"[6.9e-05, 6.8e-05, 7.5e-05, 6.2e-05, 6.1e-05]"
in_4.in,4,1024,1,5,0.000004,0.000001,"[3e-06, 5e-06, 6e-06, 3e-06, 4e-06]"
