sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic,in_1.in,1,0,1,5,0.000000,0.000000,"[1e-06, 0.0, 0.0, 0.0, 0.0]"
bitonic,in_2.in,2,0,1,5,0.000001,0.000001,"[3e-06, 1e-06, 1e-06, 1e-06, 1e-06]"
bitonic,in_4.in,4,0,1,5,0.000001,0.000000,"[1e-06, 1e-06, 1e-06, 1e-06, 1e-06]"
bitonic,in_8.in,8,0,1,5,0.000002,0.000000,"[2e-06, 2e-06, 2e-06, 2e-06, 2e-06]"
bitonic,in_16.in,16,0,1,5,0.000004,0.000000,"[4e-06, 4e-06, 4e-06, 4e-06, 4e-06]"
bitonic,in_32.in,32,0,1,5,0.000018,0.000005,"[2.1e-05, 2e-05, 2e-05, 2e-05, 9e-06]"
bitonic,in_64.in,64,0,1,5,0.000027,0.000011,"[2.2e-05, 4.7e-05, 2.2e-05, 2.1e-05, 2.2e-05]"
bitonic,in_128.in,128,0,1,5,0.000056,0.000027,"[0.000104, 4.4e-05, 4.4e-05, 4.5e-05, 4.4e-05]"
bitonic,in_256.in,256,0,1,5,0.000112,0.000006,"[0.000116, 0.00011, 0.00012, 0.000106, 0.00011]"
bitonic,in_512.in,512,0,1,5,0.000291,0.000058,"[0.000393, 0.000254, 0.000254, 0.000283, 0.000271]"
bitonic,in_1024.in,1024,0,1,5,0.000583,0.000037,"[0.000625, 0.000557, 0.000621, 0.000547, 0.000564]"
bitonic,in_2048.in,2048,0,1,5,0.001283,0.000028,"[0.001263, 0.001267, 0.001331, 0.001279, 0.001275]"
bitonic,in_4096.in,4096,0,1,5,0.002979,0.000081,"[0.002909, 0.002973, 0.00304, 0.002892, 0.003079]"
bitonic,in_8192.in,8192,0,1,5,0.006902,0.000109,"[0.006836, 0.00685, 0.006934, 0.006811, 0.007078]"
bitonic,in_16384.in,16384,0,1,5,0.015147,0.000047,"[0.015109, 0.015205, 0.01509, 0.015157, 0.015176]"
bitonic,in_32768.in,32768,0,1,5,0.034090,0.000166,"[0.034093, 0.03412, 0.034296, 0.03411, 0.033832]"
bitonic,in_65536.in,65536,0,1,5,0.075785,0.000265,"[0.076223, 0.075582, 0.075726, 0.075816, 0.075578]"
bitonic,in_131072.in,131072,0,1,5,0.166813,0.000529,"[0.166234, 0.166739, 0.167651, 0.16689, 0.16655]"
bitonic,in_262144.in,262144,0,1,5,0.368171,0.000509,"[0.367894, 0.367596, 0.36799, 0.368868, 0.368505]"
bitonic,in_524288.in,524288,0,1,5,0.807458,0.001428,"[0.809283, 0.806842, 0.806022, 0.806487, 0.808657]"
bitonic,in_1048576.in,1048576,0,1,5,1.765755,0.001153,"[1.76765, 1.764604, 1.765135, 1.765752, 1.765633]"
bitonic,in_2097152.in,2097152,0,1,5,3.848774,0.009019,"[3.843966, 3.85397, 3.835831, 3.851251, 3.858853]"
bitonic,in_4194304.in,4194304,0,1,5,8.357118,0.008453,"[8.365193, 8.355523, 8.351006, 8.366437, 8.347429]"
bitonic,in_8388608.in,8388608,0,1,5,18.073677,0.018225,"[18.070245, 18.045619, 18.072654, 18.089795, 18.090072]"
bitonic,in_16777216.in,16777216,0,1,5,38.946484,0.032739,"[38.926106, 38.949158, 38.99666, 38.950496, 38.909999]"
bitonic_parallel,in_1.in,1,1024,1,5,0.000006,0.000002,"[9e-06, 5e-06, 5e-06, 5e-06, 5e-06]"
bitonic_parallel,in_1.in,1,2048,1,5,0.000006,0.000002,"[5e-06, 9e-06, 5e-06, 6e-06, 5e-06]"
bitonic_parallel,in_1.in,1,4096,1,5,0.000011,0.000005,"[6e-06, 8e-06, 1.5e-05, 9e-06, 1.9e-05]"
bitonic_parallel,in_1.in,1,1024,2,5,0.000089,0.000027,"[9.7e-05, 8.1e-05, 0.000133, 6.6e-05, 6.9e-05]"
bitonic_parallel,in_1.in,1,2048,2,5,0.000070,0.000011,"[8.9e-05, 6.4e-05, 6.8e-05, 6.4e-05, 6.3e-05]"
bitonic_parallel,in_1.in,1,4096,2,5,0.000098,0.000030,"[0.000128, 7.5e-05, 0.000134, 7.7e-05, 7.5e-05]"
bitonic_parallel,in_1.in,1,1024,5,5,0.000251,0.000050,"[0.000244, 0.000201, 0.000333, 0.000225, 0.000251]"
bitonic_parallel,in_1.in,1,2048,5,5,0.000261,0.000066,"[0.00037, 0.00021, 0.000277, 0.000224, 0.000222]"
bitonic_parallel,in_1.in,1,4096,5,5,0.000251,0.000052,"[0.000341, 0.000213, 0.000219, 0.000247, 0.000236]"
bitonic_parallel,in_1.in,1,1024,10,5,0.000480,0.000052,"[0.000462, 0.000446, 0.000502, 0.000559, 0.000429]"
bitonic_parallel,in_1.in,1,2048,10,5,0.000470,0.000061,"[0.000474, 0.000442, 0.000573, 0.00044, 0.000419]"
bitonic_parallel,in_1.in,1,4096,10,5,0.000519,0.000067,"[0.00061, 0.000464, 0.000566, 0.000502, 0.000453]"
bitonic_parallel,in_1.in,1,1024,20,5,0.000938,0.000087,"[0.000911, 0.000922, 0.000887, 0.000879, 0.001091]"
