sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic_parallel,in_16777216.in,16777216,512,1,5,53.763413,0.411242,"[54.277363, 53.634993, 53.600705, 54.067057, 53.236945]"
bitonic_parallel,in_16777216.in,16777216,1024,1,5,53.613953,0.308050,"[54.084753, 53.309793, 53.481701, 53.750596, 53.442921]"
bitonic_parallel,in_16777216.in,16777216,2048,1,5,53.294418,0.267188,"[53.10894, 53.333437, 53.044462, 53.259622, 53.725631]"
bitonic_parallel,in_16777216.in,16777216,4096,1,5,53.260619,0.269626,"[53.670542, 53.343526, 53.028671, 53.011743, 53.248613]"
bitonic_parallel,in_16777216.in,16777216,8192,1,5,53.397041,0.252401,"[53.158961, 53.386691, 53.222851, 53.806328, 53.410374]"
bitonic_parallel,in_16777216.in,16777216,16384,1,5,53.305183,0.187419,"[53.512544, 53.396197, 53.20537, 53.033355, 53.378447]"
bitonic_parallel,in_16777216.in,16777216,32768,1,5,53.339086,0.402311,"[53.710541, 52.968753, 53.296171, 53.789852, 52.930113]"
bitonic_parallel,in_16777216.in,16777216,65536,1,5,53.235578,0.253474,"[53.677211, 53.131835, 53.103536, 53.211937, 53.053372]"
bitonic_parallel,in_16777216.in,16777216,131072,1,5,53.331051,0.204865,"[53.111607, 53.533661, 53.515997, 53.123835, 53.370154]"
bitonic_parallel,in_16777216.in,16777216,262144,1,5,53.542339,0.311900,"[53.191339, 53.953343, 53.278419, 53.70155, 53.587046]"
bitonic_parallel,in_16777216.in,16777216,524288,1,5,53.459089,0.386884,"[53.928991, 53.175408, 53.663096, 52.964245, 53.563704]"
bitonic_parallel,in_16777216.in,16777216,1048576,1,5,53.255827,0.294280,"[53.047224, 53.053266, 53.309382, 53.746919, 53.122343]"
bitonic_parallel,in_16777216.in,16777216,2097152,1,5,53.461382,0.319482,"[53.869769, 53.470146, 53.246333, 53.655924, 53.06474]"
bitonic_parallel,in_16777216.in,16777216,4194304,1,5,53.448719,0.367829,"[53.10555, 54.045893, 53.194487, 53.415836, 53.481829]"
bitonic_parallel,in_16777216.in,16777216,8388608,1,5,53.465808,0.197775,"[53.172362, 53.726377, 53.514055, 53.460043, 53.456203]"
bitonic_parallel,in_16777216.in,16777216,16777216,1,5,53.498411,0.389612,"[53.020026, 53.702694, 53.933002, 53.158495, 53.677837]"
bitonic_parallel,in_16777216.in,16777216,512,2,5,43.583798,0.091793,"[43.624744, 43.552372, 43.537037, 43.483759, 43.721077]"
bitonic_parallel,in_16777216.in,16777216,1024,2,5,43.416051,0.033534,"[43.469381, 43.39844, 43.379398, 43.416507, 43.416531]"
bitonic_parallel,in_16777216.in,16777216,2048,2,5,43.378400,0.051807,"[43.330801, 43.449384, 43.329828, 43.410422, 43.371567]"
bitonic_parallel,in_16777216.in,16777216,4096,2,5,43.335428,0.083084,"[43.443245, 43.268379, 43.264541, 43.295655, 43.405318]"
bitonic_parallel,in_16777216.in,16777216,8192,2,5,43.179931,0.082612,"[43.092356, 43.305445, 43.203488, 43.175922, 43.122443]"
bitonic_parallel,in_16777216.in,16777216,16384,2,5,43.266151,0.013871,"[43.279361, 43.248051, 43.276046, 43.27251, 43.254788]"
bitonic_parallel,in_16777216.in,16777216,32768,2,5,43.261375,0.033712,"[43.30151, 43.216462, 43.245822, 43.256223, 43.28686]"
bitonic_parallel,in_16777216.in,16777216,65536,2,5,43.209709,0.122026,"[43.147739, 43.097239, 43.253023, 43.40294, 43.147602]"
bitonic_parallel,in_16777216.in,16777216,131072,2,5,43.240210,0.063034,"[43.157718, 43.282328, 43.25844, 43.309321, 43.193244]"
bitonic_parallel,in_16777216.in,16777216,262144,2,5,43.179793,0.105091,"[43.027888, 43.27089, 43.212156, 43.118679, 43.26935]"
bitonic_parallel,in_16777216.in,16777216,524288,2,5,43.266426,0.058144,"[43.322705, 43.198295, 43.330342, 43.252074, 43.228712]"
bitonic_parallel,in_16777216.in,16777216,1048576,2,5,43.228485,0.137703,"[43.259753, 43.079518, 43.09841, 43.302054, 43.402691]"
bitonic_parallel,in_16777216.in,16777216,2097152,2,5,43.219997,0.051771,"[43.20628, 43.227537, 43.145872, 43.230509, 43.289788]"
bitonic_parallel,in_16777216.in,16777216,4194304,2,5,43.168032,0.100974,"[43.169712, 43.140035, 43.13305, 43.334501, 43.062864]"
bitonic_parallel,in_16777216.in,16777216,8388608,2,5,43.206151,0.047750,"[43.233965, 43.136241, 43.178044, 43.251379, 43.231125]"
bitonic_parallel,in_16777216.in,16777216,16777216,2,5,53.306980,0.240026,"[53.480435, 53.021257, 53.487472, 53.068147, 53.477587]"
bitonic_parallel,in_16777216.in,16777216,512,5,5,23.253176,1.753161,"[23.998645, 23.792505, 24.277673, 24.064701, 20.132354]"
bitonic_parallel,in_16777216.in,16777216,1024,5,5,23.877730,0.115974,"[23.852664, 23.820676, 23.752037, 23.902505, 24.06077]"
bitonic_parallel,in_16777216.in,16777216,2048,5,5,23.930637,0.160910,"[23.871457, 23.857771, 23.96755, 23.767409, 24.188998]"
bitonic_parallel,in_16777216.in,16777216,4096,5,5,23.649494,0.077114,"[23.679835, 23.679024, 23.537311, 23.739055, 23.612246]"
bitonic_parallel,in_16777216.in,16777216,8192,5,5,22.290902,2.129871,"[19.878853, 23.776992, 23.743443, 24.011349, 20.043872]"
bitonic_parallel,in_16777216.in,16777216,16384,5,5,23.768815,0.103611,"[23.73978, 23.761869, 23.735564, 23.664601, 23.942262]"
bitonic_parallel,in_16777216.in,16777216,32768,5,5,23.850657,0.103987,"[23.769442, 23.73636, 23.946437, 23.969248, 23.831799]"
bitonic_parallel,in_16777216.in,16777216,65536,5,5,22.832593,1.172933,"[23.627374, 23.526468, 21.003544, 22.300438, 23.70514]"
bitonic_parallel,in_16777216.in,16777216,131072,5,5,22.950286,1.794720,"[23.769848, 23.951374, 23.755675, 19.751327, 23.523205]"
bitonic_parallel,in_16777216.in,16777216,262144,5,5,23.471171,0.130800,"[23.536061, 23.593899, 23.253072, 23.462639, 23.510184]"
bitonic_parallel,in_16777216.in,16777216,524288,5,5,23.616104,0.249545,"[23.540149, 24.027306, 23.397703, 23.458413, 23.65695]"
bitonic_parallel,in_16777216.in,16777216,1048576,5,5,23.009987,2.321338,"[20.655987, 20.310736, 24.842836, 24.318245, 24.922129]"
bitonic_parallel,in_16777216.in,16777216,2097152,5,5,24.369386,1.774970,"[25.242163, 25.228389, 21.203938, 24.920851, 25.251588]"
bitonic_parallel,in_16777216.in,16777216,4194304,5,5,26.246359,0.239777,"[26.355232, 26.321215, 25.826386, 26.428639, 26.300321]"
bitonic_parallel,in_16777216.in,16777216,8388608,5,5,26.713969,0.087867,"[26.714869, 26.644549, 26.658526, 26.86343, 26.688469]"
bitonic_parallel,in_16777216.in,16777216,16777216,5,5,53.269694,0.144424,"[53.225662, 53.194987, 53.434448, 53.092236, 53.401138]"
bitonic_parallel,in_16777216.in,16777216,512,10,5,14.292958,0.478415,"[14.121873, 13.681444, 14.155785, 14.94059, 14.5651]"
bitonic_parallel,in_16777216.in,16777216,1024,10,5,14.584241,0.843491,"[13.758978, 13.697313, 14.638151, 15.426712, 15.400049]"
bitonic_parallel,in_16777216.in,16777216,2048,10,5,14.182703,0.667591,"[15.085414, 14.663879, 13.824305, 13.467436, 13.872483]"
bitonic_parallel,in_16777216.in,16777216,4096,10,5,14.222782,0.519658,"[14.338457, 15.086358, 13.910027, 13.913108, 13.865961]"
bitonic_parallel,in_16777216.in,16777216,8192,10,5,14.435420,0.785596,"[15.495092, 14.91029, 14.244623, 13.462709, 14.064388]"
bitonic_parallel,in_16777216.in,16777216,16384,10,5,14.305330,0.472099,"[14.500081, 14.317733, 14.482154, 13.501604, 14.725076]"
bitonic_parallel,in_16777216.in,16777216,32768,10,5,14.313478,0.831509,"[13.236555, 15.167093, 15.041604, 13.729695, 14.392442]"
