sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic,in_1.in,1,0,1,5,0.000000,0.000001,"[0.0, 1e-06, 1e-06, 0.0, 0.0]"
bitonic,in_2.in,2,0,1,5,0.000001,0.000001,"[1e-06, 1e-06, 1e-06, 0.0, 0.0]"
bitonic,in_4.in,4,0,1,5,0.000001,0.000000,"[0.0, 1e-06, 1e-06, 1e-06, 1e-06]"
bitonic,in_8.in,8,0,1,5,0.000002,0.000000,"[2e-06, 2e-06, 2e-06, 1e-06, 2e-06]"
bitonic,in_16.in,16,0,1,5,0.000002,0.000000,"[2e-06, 2e-06, 2e-06, 2e-06, 2e-06]"
bitonic,in_32.in,32,0,1,5,0.000005,0.000001,"[5e-06, 5e-06, 5e-06, 5e-06, 7e-06]"
bitonic,in_64.in,64,0,1,5,0.000012,0.000000,"[1.2e-05, 1.1e-05, 1.2e-05, 1.2e-05, 1.2e-05]"
bitonic,in_128.in,128,0,1,5,0.000027,0.000001,"[2.8e-05, 2.6e-05, 2.6e-05, 2.7e-05, 2.7e-05]"
bitonic,in_256.in,256,0,1,5,0.000063,0.000001,"[6.3e-05, 6.3e-05, 6.5e-05, 6.3e-05, 6.3e-05]"
bitonic,in_512.in,512,0,1,5,0.000151,0.000002,"[0.000152, 0.000149, 0.000152, 0.000154, 0.000149]"
bitonic,in_1024.in,1024,0,1,5,0.000350,0.000003,"[0.000348, 0.000354, 0.000347, 0.000353, 0.000349]"
bitonic,in_2048.in,2048,0,1,5,0.000817,0.000008,"[0.000824, 0.000818, 0.000809, 0.00081, 0.000826]"
bitonic,in_4096.in,4096,0,1,5,0.001920,0.000051,"[0.001921, 0.00187, 0.001873, 0.001948, 0.001989]"
bitonic,in_8192.in,8192,0,1,5,0.004192,0.000128,"[0.004382, 0.004263, 0.004141, 0.004079, 0.004095]"
bitonic,in_16384.in,16384,0,1,5,0.008988,0.000194,"[0.009207, 0.009069, 0.008903, 0.008699, 0.00906]"
bitonic,in_32768.in,32768,0,1,5,0.021562,0.000503,"[0.022232, 0.021632, 0.021034, 0.021814, 0.021096]"
bitonic,in_65536.in,65536,0,1,5,0.045475,0.000808,"[0.045597, 0.045835, 0.046576, 0.044722, 0.044646]"
bitonic,in_131072.in,131072,0,1,5,0.101698,0.002453,"[0.10142, 0.102925, 0.102257, 0.104186, 0.097701]"
bitonic,in_262144.in,262144,0,1,5,0.230362,0.012500,"[0.250513, 0.228703, 0.230158, 0.226168, 0.21627]"
bitonic,in_524288.in,524288,0,1,5,0.484739,0.013683,"[0.467413, 0.499844, 0.492667, 0.490296, 0.473477]"
bitonic,in_1048576.in,1048576,0,1,5,1.050066,0.023132,"[1.030958, 1.050973, 1.089394, 1.038014, 1.040989]"
bitonic,in_2097152.in,2097152,0,1,5,2.296469,0.026500,"[2.288385, 2.276369, 2.288771, 2.343016, 2.285802]"
bitonic,in_4194304.in,4194304,0,1,5,5.095623,0.109286,"[4.979985, 5.258048, 5.130831, 5.095969, 5.013283]"
bitonic,in_8388608.in,8388608,0,1,5,10.979485,0.255369,"[10.772401, 10.716092, 10.913496, 11.26077, 11.234666]"
bitonic,in_16777216.in,16777216,0,1,5,24.170754,0.274655,"[24.556897, 24.248274, 24.016919, 23.822238, 24.209441]"
bitonic_parallel,in_1.in,1,1024,1,5,0.000363,0.000580,"[0.001341, 7e-06, 5e-06, 9e-06, 0.000454]"
bitonic_parallel,in_1.in,1,2048,1,5,0.000004,0.000001,"[5e-06, 4e-06, 3e-06, 4e-06, 4e-06]"
bitonic_parallel,in_1.in,1,4096,1,5,0.000004,0.000001,"[3e-06, 4e-06, 5e-06, 5e-06, 4e-06]"
bitonic_parallel,in_1.in,1,1024,3,5,0.000041,0.000005,"[4e-05, 3.9e-05, 4.5e-05, 4.8e-05, 3.4e-05]"
bitonic_parallel,in_1.in,1,2048,3,5,0.000035,0.000003,"[3.2e-05, 3.7e-05, 3.7e-05, 3.9e-05, 3.1e-05]"
bitonic_parallel,in_1.in,1,4096,3,5,0.000033,0.000006,"[3.4e-05, 2.7e-05, 3.2e-05, 4.4e-05, 3e-05]"
bitonic_parallel,in_1.in,1,1024,6,5,0.000064,0.000026,"[5.8e-05, 4.8e-05, 4.9e-05, 5.5e-05, 0.000111]"
bitonic_parallel,in_1.in,1,2048,6,5,0.000056,0.000002,"[5.5e-05, 5.5e-05, 6e-05, 5.7e-05, 5.5e-05]"
bitonic_parallel,in_1.in,1,4096,6,5,0.000053,0.000001,"[5.4e-05, 5.4e-05, 5.2e-05, 5.4e-05, 5.1e-05]"
bitonic_parallel,in_1.in,1,1024,12,5,0.000095,0.000006,"[9e-05, 0.000105, 9.6e-05, 9.3e-05, 9.1e-05]"
bitonic_parallel,in_1.in,1,2048,12,5,0.000105,0.000028,"[9.3e-05, 0.0001, 0.000154, 9.1e-05, 8.8e-05]"
bitonic_parallel,in_1.in,1,4096,12,5,0.000103,0.000014,"[0.000105, 0.000108, 0.000101, 0.000119, 8e-05]"
bitonic_parallel,in_2.in,2,1024,1,5,0.000005,0.000002,"[5e-06, 8e-06, 5e-06, 4e-06, 4e-06]"
bitonic_parallel,in_2.in,2,2048,1,5,0.000004,0.000001,"[4e-06, 6e-06, 3e-06, 4e-06, 4e-06]"
bitonic_parallel,in_2.in,2,4096,1,5,0.000005,0.000001,"[4e-06, 5e-06, 5e-06, 5e-06, 4e-06]"
bitonic_parallel,in_2.in,2,1024,3,5,0.000033,0.000002,"[3.5e-05, 3.4e-05, 3.2e-05, 3.1e-05, 3.3e-05]"
bitonic_parallel,in_2.in,2,2048,3,5,0.000032,0.000003,"[3e-05, 3.4e-05, 3.6e-05, 3e-05, 3.1e-05]"
bitonic_parallel,in_2.in,2,4096,3,5,0.000032,0.000002,"[3e-05, 3.2e-05, 3.1e-05, 3.5e-05, 3.4e-05]"
bitonic_parallel,in_2.in,2,1024,6,5,0.000052,0.000002,"[5e-05, 5.5e-05, 5.3e-05, 5.3e-05, 4.9e-05]"
bitonic_parallel,in_2.in,2,2048,6,5,0.000054,0.000005,"[5e-05, 6e-05, 5.6e-05, 4.9e-05, 5.3e-05]"
bitonic_parallel,in_2.in,2,4096,6,5,0.000056,0.000005,"[4.8e-05, 5.9e-05, 5.6e-05, 6.1e-05, 5.4e-05]"
bitonic_parallel,in_2.in,2,1024,12,5,0.000091,0.000005,"[8.8e-05, 8.9e-05, 8.8e-05, 0.0001, 8.8e-05]"
bitonic_parallel,in_2.in,2,2048,12,5,0.000100,0.000021,"[0.000134, 0.000108, 8.8e-05, 8.6e-05, 8.6e-05]"
bitonic_parallel,in_2.in,2,4096,12,5,0.000090,0.000003,"[8.6e-05, 8.9e-05, 9.2e-05, 9.2e-05, 9.1e-05]"
bitonic_parallel,in_4.in,4,1024,1,5,0.000005,0.000001,"[5e-06, 5e-06, 6e-06, 5e-06, 4e-06]"
bitonic_parallel,in_4.in,4,2048,1,5,0.000005,0.000001,"[4e-06, 5e-06, 5e-06, 5e-06, 4e-06]"
bitonic_parallel,in_4.in,4,4096,1,5,0.000005,0.000001,"[4e-06, 6e-06, 5e-06, 5e-06, 4e-06]"
bitonic_parallel,in_4.in,4,1024,3,5,0.000033,0.000002,"[3.6e-05, 3.2e-05, 3.3e-05, 3.4e-05, 3e-05]"
bitonic_parallel,in_4.in,4,2048,3,5,0.000033,0.000003,"[3e-05, 3e-05, 3.7e-05, 3.5e-05, 3.4e-05]"
bitonic_parallel,in_4.in,4,4096,3,5,0.000035,0.000005,"[3.1e-05, 3.2e-05, 3e-05, 4.1e-05, 3.9e-05]"
bitonic_parallel,in_4.in,4,1024,6,5,0.000054,0.000002,"[5.6e-05, 5.1e-05, 5.4e-05, 5.3e-05, 5.7e-05]"
bitonic_parallel,in_4.in,4,2048,6,5,0.000062,0.000021,"[5.2e-05, 9.9e-05, 5.3e-05, 5.3e-05, 5.4e-05]"
bitonic_parallel,in_4.in,4,4096,6,5,0.000082,0.000041,"[5.3e-05, 5.7e-05, 0.00015, 9.2e-05, 5.8e-05]"
bitonic_parallel,in_4.in,4,1024,12,5,0.000113,0.000017,"[9.7e-05, 0.000102, 0.000108, 0.00014, 0.000117]"
bitonic_parallel,in_4.in,4,2048,12,5,0.000118,0.000010,"[0.000125, 0.000101, 0.000123, 0.000116, 0.000124]"
bitonic_parallel,in_4.in,4,4096,12,5,0.000155,0.000064,"[0.000111, 0.000125, 0.000178, 0.000257, 0.000104]"
bitonic_parallel,in_8.in,8,1024,1,5,0.000007,0.000001,"[8e-06, 8e-06, 6e-06, 7e-06, 7e-06]"
bitonic_parallel,in_8.in,8,2048,1,5,0.000007,0.000001,"[6e-06, 7e-06, 9e-06, 8e-06, 7e-06]"
bitonic_parallel,in_8.in,8,4096,1,5,0.000007,0.000001,"[7e-06, 9e-06, 6e-06, 7e-06, 6e-06]"
bitonic_parallel,in_8.in,8,1024,3,5,0.000037,0.000001,"[3.7e-05, 3.5e-05, 3.9e-05, 3.7e-05, 3.6e-05]"
bitonic_parallel,in_8.in,8,2048,3,5,0.000038,0.000005,"[3.6e-05, 4.6e-05, 3.9e-05, 3.3e-05, 3.5e-05]"
